id_employee,job_title, salary ,id_currency, salary_in_usd ,id_work_year,id_experience_level,id_remote_ratio,id_company
3787,Data Analyst,"135,000.00",1,"135,000.00",4,1,3,1
3788,Data Analyst,"100,000.00",1,"100,000.00",4,1,1,1
3789,Data Analyst,"75,000.00",1,"75,000.00",4,1,1,1
3790,Data Scientist,"170,000.00",1,"170,000.00",4,2,3,1
3791,Data Scientist,"144,500.00",1,"144,500.00",4,2,3,1
3792,Machine Learning Engineer,"204,500.00",1,"204,500.00",4,1,1,1
3793,Machine Learning Engineer,"142,200.00",1,"142,200.00",4,1,1,1
3794,Machine Learning Engineer,"255,360.00",1,"255,360.00",4,1,1,1
3795,Machine Learning Engineer,"212,800.00",1,"212,800.00",4,1,1,1
3796,Data Engineer,"170,000.00",1,"170,000.00",4,1,3,1
3797,Data Engineer,"100,000.00",1,"100,000.00",4,1,3,1
3798,Data Analyst,"106,400.00",1,"106,400.00",4,1,1,1
3799,Data Analyst,"81,800.00",1,"81,800.00",4,1,1,1
